98I2NU,0,111827.8046875,120079.8984375,130161.28125,100049.546875,100062.09375,100055.6171875,14,14,15,NA,0.5493133988380432,98I2NU,0,111827.8046875,120079.8984375,130161.28125,100049.546875,100062.09375,100055.6171875,14,14,15,NA,0.5493133988380432,98I2NU,0,111827.8046875,120079.8984375,130161.28125,100049.546875,100062.09375,100055.6171875,14,14,15,NA,0.5493133988380432,98I2NU,0,111827.8046875,120079.8984375,130161.28125,100049.546875,100062.09375,100055.6171875,14,14,15,NA,0.5493133988380432,98I2NU,0,111827.8046875,120079.8984375,130161.28125,100049.546875,100062.09375,100055.6171875,14,14,15,NA,0.5493133988380432,98I2NU,0,111827.8046875,120079.8984375,130161.28125,100049.546875,100062.09375,100055.6171875,14,14,15,NA,0.5493133988380432,98I2NU,0,111827.8046875,120079.8984375,130161.28125,100049.546875,100062.09375,100055.6171875,14,14,15,NA,0.5493133988380432,98I2NU,0,111827.8046875,120079.8984375,130161.28125,100049.546875,100062.09375,100055.6171875,14,14,15,NA,0.5493133988380432,98I2NU,0,111827.8046875,120079.8984375,130161.28125,100049.546875,100062.09375,100055.6171875,14,14,15,NA,0.5493133988380432,O719XJ,0,21.657516420452893,95888.953125,122675.203125,171313.09375,100074.03125,100074.09375,100074.078125,14,14,15,NA,0.48621160030364985,300,64,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
O719XJ,1,43.909493649514694,203844.453125,10148745.0,352928.40625,100083.5234375,100085.2578125,100083.1484375,14,13,15,NA,0.5226413872241974,300,64,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
O719XJ,2,7.309907815184392,105502.1875,110669.4765625,152611.515625,100065.765625,100070.9375,100067.7265625,14,14,15,NA,0.5565004348158836,300,64,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
O719XJ,3,23.649588235233225,127468.9765625,122203.421875,166381.078125,100046.0,100055.421875,100051.3125,14,14,15,NA,0.4611352261304855,300,64,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
O719XJ,4,-35.433555791991246,205296.4375,130892.1875,179228.0625,100109.25,100150.296875,100117.9453125,15,14,15,NA,0.5413072770833969,300,64,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
O719XJ,5,16.084022417859376,179192.0,136423.203125,154122.140625,100068.40625,100087.6328125,100073.53125,14,14,15,NA,0.4799147644340992,300,64,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
JTIWUN,0,46.02516713768445,82422.5625,93888.6015625,84598.890625,100063.1796875,100073.7109375,100062.90625,14,14,11,NA,0.5785979795408248,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,1,-87.93206172924616,109252.8828125,86120.8203125,116545.0078125,100055.7421875,100070.890625,100067.3515625,14,14,14,NA,0.5849819940090178,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,2,-151.20011092471398,100372.796875,100823.3125,105796.328125,100065.4765625,100078.6015625,100082.0625,14,14,15,NA,0.5779598674938082,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,3,-79.6336264201214,97132.359375,96701.109375,102386.96875,100076.6015625,100082.734375,100079.2578125,14,14,15,NA,0.6137011185139418,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,4,-142.91802603953013,91711.84375,93203.1796875,109436.1796875,100076.4765625,100088.703125,100077.484375,14,14,15,NA,0.6611339195662737,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,5,-89.73409917477431,109887.890625,80688.703125,90012.640625,100111.796875,100113.953125,100109.9140625,14,14,15,NA,0.644564054095745,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,6,-51.77662921213926,102565.1796875,98319.3984375,87962.828125,100115.9296875,100115.359375,100126.4140625,14,14,14,NA,0.5751428863477707,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,7,61.349053821476,83879.4296875,81254.2578125,109382.6875,100063.46875,100106.1171875,100081.0234375,14,14,15,NA,0.6154966995012758,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,8,-149.273067479977,98201.296875,95654.46875,100356.390625,100068.6875,100103.0078125,100090.71875,14,14,15,NA,0.5622903901523351,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,9,-33.696669644684334,77937.375,94895.828125,92721.96875,100070.0390625,100067.15625,100069.109375,14,14,15,NA,0.6116764569389819,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,10,-111.57279919101556,91908.21875,95282.1875,102138.2265625,100074.15625,100076.8671875,100107.0,14,14,14,NA,0.5830860214322805,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,11,-109.2186419867835,78311.2265625,101086.6796875,89413.4296875,100059.9375,100066.1328125,100067.5859375,14,14,15,NA,0.5968389623272418,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,12,-22.541646438150288,80293.1875,84342.3828125,94849.28125,100096.5859375,100108.609375,100088.796875,14,14,15,NA,0.5907031437134742,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,13,43.41141888051285,86798.359375,86429.4765625,96361.6484375,100108.875,100127.859375,100108.4375,14,14,15,NA,0.6001956110984086,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,14,-4.198085929730939,96587.5078125,86621.421875,88860.078125,100085.1171875,100095.234375,100085.3671875,14,14,15,NA,0.6098051056158542,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,15,-5.986598446858997,82719.6171875,85702.7109375,116995.8515625,100069.1796875,100079.984375,100068.953125,14,14,15,NA,0.5810870992362498,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,16,-60.24765277756796,96728.5,98157.796875,91146.7890625,100077.59375,100089.984375,100077.1171875,14,14,15,NA,0.5656692501640319,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,17,-3.3463121388575345,80972.40625,85978.2578125,97862.1171875,100065.375,100078.21875,100065.671875,14,14,15,NA,0.5843736361581087,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,18,-15.89003412780687,91267.421875,91628.953125,101298.09375,100074.125,100106.5859375,100075.046875,14,14,14,NA,0.6866802061450481,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
JTIWUN,19,-80.6941295700482,90648.6796875,90635.9296875,98100.1796875,100064.890625,100069.4765625,100075.921875,14,14,15,NA,0.5832096743631363,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
